"TAG_ID","OBS_DATE","PRIMARY_SAMPLING_UNIT","DRAW","FIELD_REPLICATE","EPISODE","EASTING_DECIMAL_DEGREES","NORTHING_DECIMAL_DEGREES","WETLAND_BASIN","LSU","LSU_NAME","WATER_DEPTH_CM","SURFACE_WATER_PH","SURFACE_WATER_COND_US_PER_CM","SOIL_DEPTH_CM","SOIL_TYPE","PERI_TYPE","PERI_PLUS_SUBMERSED_PLANT_VOL_ML_PER_M2","PERI_VOL_ML_PER_M2","PERI_SAMPLE_VOL_ML","PERI_AERIAL_PCT_COVER","QUANTITATIVE","BENTHIC_PERI_PCT_OF_SAMPLE","BENTHIC_PERI_PCT_COVER","EPIPHYTIC_PERI_PCT_OF_SAMPLE","EPIPHYTIC_PERI_PCT_COVER","EPIPHYTIC_SP1","EPIPHYTIC_SP2","EPIPHYTIC_SP3","FLOATING_PERI_PCT_OF_SAMPLE","FLOATING_PERI_PCT_COVER","FLOATING_SP1","FLOATING_SP2","GREEN_ALGAE_PCT_OF_SAMPLE","GREEN_ALGAE_SUBSTRATE_SP1","FLOC_PCT_OF_SAMPLE","PERI_TP_UG_PER_G_DRY_MASS","PERI_DRY_G_PER_M2","PERI_AFDM_G_PER_M2","PERI_PROP_ORGANIC","CHLA_UG_PER_M2","DEPTH","DEPTH_AVE_30DAY","DEPTH_AVE_60DAY","DEPTH_AVE_90DAY","DEPTH_AVE_180DAY","DEPTH_AVE_365DAY","DSLDD","DRY_LEN","LASTDAYDRY","YEARLENGTH","HYDROPERIOD5CM","DEPTHLAG30","DEPTHLAG60","DEPTHLAG90","HYDROPERIOD_ANNUAL","HYDROPERIOD_MEAN"
20050428_CERP_013_A1_1_2,2005-04-28,013,A1,1,2,-81.05700594,26.91704914,LOK,2,"Lake Okeechobee Littoral Zone Southwest",54,6.33,-9999,70,3,3,0,0,0,0,N,0,0,0,0,NONE,NONE,NONE,0,0,NONE,NONE,0,NONE,100,2023.62,0,0,0.88,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
20050428_CERP_013_A1_2_2,2005-04-28,013,A1,2,2,-81.05700594,26.91704914,LOK,2,"Lake Okeechobee Littoral Zone Southwest",55,6.35,-9999,54,3,3,0,0,0,0,N,0,0,0,0,NONE,NONE,NONE,0,0,NONE,NONE,0,NONE,100,-9999,0,0,0.87,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
20050428_CERP_013_A1_3_2,2005-04-28,013,A1,3,2,-81.05700594,26.91704914,LOK,2,"Lake Okeechobee Littoral Zone Southwest",64,6.29,-9999,70,3,3,0,0,0,0,N,0,0,0,0,NONE,NONE,NONE,0,0,NONE,NONE,0,NONE,100,-9999,0,0,0.86,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
20050428_CERP_013_A2_1_2,2005-04-28,013,A2,1,2,-81.05952127,26.91208231,LOK,2,"Lake Okeechobee Littoral Zone Southwest",37,6.19,-9999,-9999,3,3,200,0,0,0,N,0,0,0,0,NONE,NONE,NONE,0,0,NONE,NONE,0,NONE,100,1651.14,0,0,0.93,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
20050428_CERP_013_A2_2_2,2005-04-28,013,A2,2,2,-81.05952127,26.91208231,LOK,2,"Lake Okeechobee Littoral Zone Southwest",44,6.45,-9999,-9999,3,3,1000,0,0,0,N,0,0,0,0,NONE,NONE,NONE,0,0,NONE,NONE,0,NONE,100,-9999,0,0,0.87,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
20050428_CERP_013_A2_3_2,2005-04-28,013,A2,3,2,-81.05952127,26.91208231,LOK,2,"Lake Okeechobee Littoral Zone Southwest",37,6.44,-9999,-9999,3,3,1000,0,0,0,N,0,0,0,0,NONE,NONE,NONE,0,0,NONE,NONE,0,NONE,100,-9999,0,0,0.82,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
20050512_CERP_014_B1_1_2,2005-05-12,014,B1,1,2,-80.25892653,26.95069598,PAL,3,"Corbett/Pal Mar",45,6.61,-9999,26,3,3,200,0,0,0,N,0,0,0,0,NONE,NONE,NONE,0,0,NONE,NONE,20,RHYSPP,80,351.45,0,0,0.63,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
20050512_CERP_014_B1_2_2,2005-05-12,014,B1,2,2,-80.25892653,26.95069598,PAL,3,"Corbett/Pal Mar",42,6.63,-9999,22,3,3,200,0,0,0,N,0,0,0,0,NONE,NONE,NONE,0,0,NONE,NONE,0,NONE,100,-9999,0,0,0.59,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
20050512_CERP_014_B1_3_2,2005-05-12,014,B1,3,2,-80.25892653,26.95069598,PAL,3,"Corbett/Pal Mar",46,6.58,-9999,30,3,3,50,0,0,0,N,0,0,0,0,NONE,NONE,NONE,0,0,NONE,NONE,0,NONE,100,-9999,0,0,0.68,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
20050512_CERP_014_B2_1_2,2005-05-12,014,B2,1,2,-80.26214546,26.95143511,PAL,3,"Corbett/Pal Mar",32,6.33,-9999,27,3,3,0,0,0,0,N,0,0,0,0,NONE,NONE,NONE,0,0,NONE,NONE,0,NONE,100,389.88,0,0,0.77,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
20050512_CERP_014_B2_2_2,2005-05-12,014,B2,2,2,-80.26214546,26.95143511,PAL,3,"Corbett/Pal Mar",30,6.8,-9999,30,3,3,0,0,0,0,N,0,0,0,0,NONE,NONE,NONE,0,0,NONE,NONE,0,NONE,100,-9999,0,0,0.59,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
